Column,Value,Frequency
battery_power,1027,3
battery_power,1483,3
battery_power,576,3
battery_power,667,3
battery_power,869,3
battery_power,635,3
battery_power,1604,3
battery_power,848,3
battery_power,1314,3
battery_power,1312,3
battery_power,1713,3
battery_power,1793,3
battery_power,852,3
battery_power,1456,3
battery_power,1864,3
battery_power,1108,3
battery_power,1695,3
battery_power,1067,3
battery_power,539,3
battery_power,1109,3
battery_power,1994,3
battery_power,571,3
battery_power,709,3
battery_power,1945,3
battery_power,1880,3
battery_power,914,3
battery_power,561,3
battery_power,1368,3
battery_power,771,3
battery_power,774,3
battery_power,1117,3
battery_power,612,3
battery_power,733,3
battery_power,1191,3
battery_power,1271,3
battery_power,1595,3
battery_power,798,3
battery_power,1159,3
battery_power,1348,3
battery_power,1972,3
battery_power,1349,3
battery_power,1175,3
battery_power,1163,3
battery_power,984,3
battery_power,1170,3
battery_power,508,3
battery_power,1097,3
battery_power,1469,3
battery_power,1504,3
battery_power,1698,3
battery_power,614,3
battery_power,1263,3
battery_power,685,3
battery_power,1786,3
battery_power,603,3
battery_power,534,3
battery_power,1547,3
battery_power,1195,3
battery_power,1900,3
battery_power,1656,3
battery_power,909,3
battery_power,1778,3
battery_power,831,3
battery_power,1564,3
battery_power,1347,3
battery_power,560,3
battery_power,1110,3
battery_power,1396,3
battery_power,514,3
battery_power,1753,3
battery_power,1830,3
battery_power,936,3
battery_power,1661,3
battery_power,553,3
battery_power,503,3
battery_power,1936,3
battery_power,875,3
battery_power,1510,3
battery_power,797,3
battery_power,1448,3
battery_power,1496,3
battery_power,668,3
battery_power,1166,3
battery_power,1426,3
battery_power,1142,3
battery_power,1358,3
battery_power,1720,3
battery_power,1156,3
battery_power,1766,3
battery_power,1883,3
battery_power,823,3
battery_power,718,3
battery_power,645,3
battery_power,1821,3
battery_power,625,3
battery_power,775,3
battery_power,1445,3
battery_power,1866,3
battery_power,1692,3
battery_power,742,3
battery_power,688,3
battery_power,843,3
battery_power,769,3
battery_power,1485,3
battery_power,1193,3
battery_power,673,3
battery_power,1224,3
battery_power,615,3
battery_power,955,2
battery_power,541,2
battery_power,525,2
battery_power,1112,2
battery_power,1359,2
battery_power,1339,2
battery_power,1231,2
battery_power,1318,2
battery_power,518,2
battery_power,856,2
battery_power,1325,2
battery_power,1731,2
battery_power,794,2
battery_power,897,2
battery_power,704,2
battery_power,1397,2
battery_power,695,2
battery_power,966,2
battery_power,1436,2
battery_power,1606,2
battery_power,1174,2
battery_power,591,2
battery_power,781,2
battery_power,1059,2
battery_power,1403,2
battery_power,584,2
battery_power,1541,2
battery_power,1362,2
battery_power,1023,2
battery_power,1694,2
battery_power,675,2
battery_power,983,2
battery_power,1928,2
battery_power,1748,2
battery_power,1802,2
battery_power,1021,2
battery_power,689,2
battery_power,1924,2
battery_power,948,2
battery_power,1671,2
battery_power,1897,2
battery_power,501,2
battery_power,1620,2
battery_power,1369,2
battery_power,714,2
battery_power,1219,2
battery_power,1232,2
battery_power,1164,2
battery_power,1853,2
battery_power,934,2
battery_power,587,2
battery_power,1974,2
battery_power,1366,2
battery_power,1288,2
battery_power,1269,2
battery_power,1179,2
battery_power,1086,2
battery_power,962,2
battery_power,555,2
battery_power,1561,2
battery_power,1290,2
battery_power,723,2
battery_power,1519,2
battery_power,1544,2
battery_power,1230,2
battery_power,1470,2
battery_power,1424,2
battery_power,1966,2
battery_power,1658,2
battery_power,598,2
battery_power,1546,2
battery_power,1600,2
battery_power,1619,2
battery_power,719,2
battery_power,1982,2
battery_power,557,2
battery_power,1958,2
battery_power,1975,2
battery_power,922,2
battery_power,1871,2
battery_power,1878,2
battery_power,1201,2
battery_power,1770,2
battery_power,1150,2
battery_power,1719,2
battery_power,1020,2
battery_power,1969,2
battery_power,1837,2
battery_power,1776,2
battery_power,1408,2
battery_power,726,2
battery_power,1783,2
battery_power,1824,2
battery_power,1180,2
battery_power,986,2
battery_power,642,2
battery_power,643,2
battery_power,1522,2
battery_power,1497,2
battery_power,841,2
battery_power,1043,2
battery_power,1095,2
battery_power,1332,2
battery_power,581,2
battery_power,1540,2
battery_power,1342,2
battery_power,1673,2
battery_power,1498,2
battery_power,1189,2
battery_power,868,2
battery_power,1425,2
battery_power,1449,2
battery_power,530,2
battery_power,1550,2
battery_power,994,2
battery_power,757,2
battery_power,1044,2
battery_power,1843,2
battery_power,1489,2
battery_power,1672,2
battery_power,854,2
battery_power,833,2
battery_power,1983,2
battery_power,1205,2
battery_power,1628,2
battery_power,502,2
battery_power,594,2
battery_power,1777,2
battery_power,818,2
battery_power,686,2
battery_power,1090,2
battery_power,1221,2
battery_power,1000,2
battery_power,1261,2
battery_power,1699,2
battery_power,950,2
battery_power,1081,2
battery_power,1597,2
battery_power,516,2
battery_power,626,2
battery_power,1727,2
battery_power,531,2
battery_power,1910,2
battery_power,1057,2
battery_power,1745,2
battery_power,907,2
battery_power,674,2
battery_power,764,2
battery_power,582,2
battery_power,1558,2
battery_power,816,2
battery_power,1763,2
battery_power,1735,2
battery_power,1788,2
battery_power,1796,2
battery_power,1237,2
battery_power,1884,2
battery_power,1136,2
battery_power,732,2
battery_power,1004,2
battery_power,1303,2
battery_power,1299,2
battery_power,720,2
battery_power,1129,2
battery_power,1487,2
battery_power,1093,2
battery_power,627,2
battery_power,1820,2
battery_power,1515,2
battery_power,802,2
battery_power,717,2
battery_power,696,2
battery_power,683,2
battery_power,1670,2
battery_power,1317,2
battery_power,1188,2
battery_power,1624,2
battery_power,1744,2
battery_power,1640,2
battery_power,1591,2
battery_power,1940,2
battery_power,1567,2
battery_power,1250,2
battery_power,1331,2
battery_power,1236,2
battery_power,727,2
battery_power,1970,2
battery_power,680,2
battery_power,807,2
battery_power,1800,2
battery_power,1320,2
battery_power,1528,2
battery_power,1447,2
battery_power,921,2
battery_power,1614,2
battery_power,1848,2
battery_power,1285,2
battery_power,1851,2
battery_power,877,2
battery_power,1996,2
battery_power,827,2
battery_power,969,2
battery_power,1009,2
battery_power,1911,2
battery_power,891,2
battery_power,865,2
battery_power,622,2
battery_power,1849,2
battery_power,1741,2
battery_power,1030,2
battery_power,1018,2
battery_power,1092,2
battery_power,842,2
battery_power,1979,2
battery_power,1992,2
battery_power,1273,2
battery_power,589,2
battery_power,1725,2
battery_power,1559,2
battery_power,564,2
battery_power,790,2
battery_power,507,2
battery_power,973,2
battery_power,1450,2
battery_power,835,2
battery_power,708,2
battery_power,1210,2
battery_power,957,2
battery_power,862,2
battery_power,644,2
battery_power,1373,2
battery_power,1918,2
battery_power,633,2
battery_power,1799,2
battery_power,1646,2
battery_power,1578,2
battery_power,1253,2
battery_power,1708,2
battery_power,1686,2
battery_power,1514,2
battery_power,1987,2
battery_power,1827,2
battery_power,1722,2
battery_power,1281,2
battery_power,1723,2
battery_power,851,2
battery_power,961,2
battery_power,580,2
battery_power,1882,2
battery_power,1430,2
battery_power,920,2
battery_power,1648,2
battery_power,956,2
battery_power,1751,2
battery_power,1177,2
battery_power,1464,2
battery_power,768,2
battery_power,977,2
battery_power,1329,2
battery_power,1053,2
battery_power,1162,2
battery_power,1579,2
battery_power,1517,2
battery_power,1995,2
battery_power,1893,2
battery_power,1563,2
battery_power,1172,2
battery_power,1429,2
battery_power,1733,2
battery_power,538,2
battery_power,1220,2
battery_power,1611,2
battery_power,1049,2
battery_power,1054,2
battery_power,1709,2
battery_power,1659,2
battery_power,605,2
battery_power,1678,2
battery_power,1537,2
battery_power,1218,2
battery_power,536,2
battery_power,819,2
battery_power,1234,2
battery_power,1008,2
battery_power,1652,2
battery_power,1790,2
battery_power,1571,2
battery_power,1957,2
battery_power,1701,2
battery_power,1242,2
battery_power,1308,2
battery_power,1412,2
battery_power,867,2
battery_power,783,2
battery_power,1135,2
battery_power,1724,2
battery_power,1977,2
battery_power,879,2
battery_power,543,2
battery_power,1322,2
battery_power,1732,2
battery_power,657,2
battery_power,1407,2
battery_power,616,2
battery_power,1395,2
battery_power,1654,2
battery_power,578,2
battery_power,1277,2
battery_power,596,2
battery_power,1760,2
battery_power,1265,2
battery_power,1642,2
battery_power,671,2
battery_power,1989,2
battery_power,1526,2
battery_power,640,2
battery_power,1523,2
battery_power,1905,2
battery_power,1934,2
battery_power,637,2
battery_power,1082,2
battery_power,947,2
battery_power,1577,2
battery_power,1854,2
battery_power,1270,2
battery_power,1572,2
battery_power,1126,2
battery_power,748,2
battery_power,1441,2
battery_power,1296,2
battery_power,1481,2
battery_power,1356,2
battery_power,1034,2
battery_power,1137,2
battery_power,563,2
battery_power,1809,2
battery_power,1042,2
battery_power,763,2
battery_power,1712,2
battery_power,1954,2
battery_power,1772,2
battery_power,803,2
battery_power,1138,2
battery_power,1868,2
battery_power,1860,2
battery_power,1726,2
battery_power,652,2
battery_power,902,2
battery_power,1048,2
battery_power,1007,2
battery_power,1089,2
battery_power,1697,2
battery_power,1874,2
battery_power,1417,2
battery_power,1187,2
battery_power,1615,2
battery_power,1552,2
battery_power,1588,2
battery_power,1476,2
battery_power,1631,2
battery_power,916,2
battery_power,1663,2
battery_power,1747,2
battery_power,1190,2
battery_power,1260,2
battery_power,1289,2
battery_power,707,2
battery_power,932,2
battery_power,595,2
battery_power,1681,2
battery_power,1960,2
battery_power,1438,2
battery_power,1520,2
battery_power,1926,2
battery_power,1479,2
battery_power,1902,2
battery_power,899,2
battery_power,1178,2
battery_power,513,2
battery_power,1337,2
battery_power,1976,2
battery_power,1197,2
battery_power,1961,1
battery_power,1757,1
battery_power,1988,1
battery_power,1859,1
battery_power,1998,1
battery_power,1423,1
battery_power,1398,1
battery_power,1073,1
battery_power,796,1
battery_power,1446,1
battery_power,1321,1
battery_power,608,1
battery_power,882,1
battery_power,1885,1
battery_power,548,1
battery_power,1012,1
battery_power,1457,1
battery_power,1493,1
battery_power,1759,1
battery_power,951,1
battery_power,925,1
battery_power,1791,1
battery_power,958,1
battery_power,1328,1
battery_power,1680,1
battery_power,509,1
battery_power,1801,1
battery_power,592,1
battery_power,1533,1
battery_power,610,1
battery_power,1805,1
battery_power,1420,1
battery_power,1685,1
battery_power,1792,1
battery_power,1842,1
battery_power,1071,1
battery_power,1616,1
battery_power,1920,1
battery_power,649,1
battery_power,684,1
battery_power,1484,1
battery_power,917,1
battery_power,1279,1
battery_power,544,1
battery_power,913,1
battery_power,590,1
battery_power,1935,1
battery_power,1566,1
battery_power,1327,1
battery_power,1127,1
battery_power,1906,1
battery_power,1667,1
battery_power,1913,1
battery_power,1240,1
battery_power,1794,1
battery_power,1971,1
battery_power,1309,1
battery_power,697,1
battery_power,1215,1
battery_power,1157,1
battery_power,1784,1
battery_power,885,1
battery_power,1451,1
battery_power,1158,1
battery_power,1898,1
battery_power,1262,1
battery_power,1139,1
battery_power,1467,1
battery_power,1895,1
battery_power,1749,1
battery_power,1103,1
battery_power,1367,1
battery_power,740,1
battery_power,1075,1
battery_power,799,1
battery_power,1384,1
battery_power,702,1
battery_power,1507,1
battery_power,1538,1
battery_power,1275,1
battery_power,1825,1
battery_power,908,1
battery_power,1361,1
battery_power,1259,1
battery_power,1901,1
battery_power,759,1
battery_power,1176,1
battery_power,888,1
battery_power,871,1
battery_power,1644,1
battery_power,1365,1
battery_power,1056,1
battery_power,1038,1
battery_power,991,1
battery_power,1370,1
battery_power,1114,1
battery_power,1405,1
battery_power,896,1
battery_power,1199,1
battery_power,676,1
battery_power,665,1
battery_power,599,1
battery_power,820,1
battery_power,1568,1
battery_power,681,1
battery_power,753,1
battery_power,1779,1
battery_power,1641,1
battery_power,634,1
battery_power,1855,1
battery_power,731,1
battery_power,926,1
battery_power,1001,1
battery_power,1676,1
battery_power,1938,1
battery_power,1148,1
battery_power,744,1
battery_power,995,1
battery_power,1492,1
battery_power,993,1
battery_power,1206,1
battery_power,1815,1
battery_power,1319,1
battery_power,1765,1
battery_power,546,1
battery_power,964,1
battery_power,1946,1
battery_power,1171,1
battery_power,1202,1
battery_power,1856,1
battery_power,579,1
battery_power,895,1
battery_power,1607,1
battery_power,1862,1
battery_power,1453,1
battery_power,1194,1
battery_power,942,1
battery_power,1131,1
battery_power,1306,1
battery_power,682,1
battery_power,1152,1
battery_power,1890,1
battery_power,1603,1
battery_power,1521,1
battery_power,1826,1
battery_power,838,1
battery_power,1125,1
battery_power,1630,1
battery_power,1146,1
battery_power,1248,1
battery_power,1967,1
battery_power,1003,1
battery_power,1416,1
battery_power,770,1
battery_power,1812,1
battery_power,1208,1
battery_power,1509,1
battery_power,1010,1
battery_power,1307,1
battery_power,855,1
battery_power,519,1
battery_power,1768,1
battery_power,990,1
battery_power,1072,1
battery_power,725,1
battery_power,1333,1
battery_power,1927,1
battery_power,1143,1
battery_power,565,1
battery_power,520,1
battery_power,1834,1
battery_power,1806,1
battery_power,537,1
battery_power,1638,1
battery_power,1045,1
battery_power,776,1
battery_power,1565,1
battery_power,1147,1
battery_power,1052,1
battery_power,1714,1
battery_power,1404,1
battery_power,729,1
battery_power,837,1
battery_power,1249,1
battery_power,602,1
battery_power,1392,1
battery_power,1922,1
battery_power,1134,1
battery_power,1006,1
battery_power,1933,1
battery_power,630,1
battery_power,1581,1
battery_power,1823,1
battery_power,935,1
battery_power,1352,1
battery_power,761,1
battery_power,1015,1
battery_power,1183,1
battery_power,881,1
battery_power,1816,1
battery_power,1251,1
battery_power,940,1
battery_power,1211,1
battery_power,636,1
battery_power,1280,1
battery_power,1410,1
battery_power,1354,1
battery_power,1908,1
battery_power,1070,1
battery_power,970,1
battery_power,1028,1
battery_power,583,1
battery_power,1203,1
battery_power,963,1
battery_power,1650,1
battery_power,527,1
battery_power,873,1
battery_power,722,1
battery_power,628,1
battery_power,1335,1
battery_power,844,1
battery_power,834,1
battery_power,1343,1
battery_power,1207,1
battery_power,1575,1
battery_power,1186,1
battery_power,512,1
battery_power,1104,1
battery_power,1355,1
battery_power,1144,1
battery_power,1867,1
battery_power,863,1
battery_power,817,1
battery_power,1730,1
battery_power,663,1
battery_power,1391,1
battery_power,1560,1
battery_power,821,1
battery_power,1717,1
battery_power,811,1
battery_power,654,1
battery_power,1557,1
battery_power,1486,1
battery_power,1182,1
battery_power,705,1
battery_power,1610,1
battery_power,1527,1
battery_power,1828,1
battery_power,706,1
battery_power,1394,1
battery_power,804,1
battery_power,658,1
battery_power,809,1
battery_power,710,1
battery_power,638,1
battery_power,1677,1
battery_power,890,1
battery_power,1721,1
battery_power,1623,1
battery_power,662,1
battery_power,1981,1
battery_power,1334,1
battery_power,1980,1
battery_power,1439,1
battery_power,1204,1
battery_power,967,1
battery_power,1647,1
battery_power,1501,1
battery_power,1892,1
battery_power,1592,1
battery_power,1662,1
battery_power,1160,1
battery_power,1839,1
battery_power,550,1
battery_power,1953,1
battery_power,1149,1
battery_power,829,1
battery_power,558,1
battery_power,1432,1
battery_power,1264,1
battery_power,554,1
battery_power,545,1
battery_power,928,1
battery_power,1937,1
battery_power,1276,1
battery_power,1782,1
battery_power,1822,1
battery_power,1956,1
battery_power,1530,1
battery_power,1997,1
battery_power,1536,1
battery_power,1707,1
battery_power,1011,1
battery_power,568,1
battery_power,1929,1
battery_power,1887,1
battery_power,954,1
battery_power,853,1
battery_power,1627,1
battery_power,1608,1
battery_power,1844,1
battery_power,1406,1
battery_power,1758,1
battery_power,1229,1
battery_power,1168,1
battery_power,1653,1
battery_power,1845,1
battery_power,752,1
battery_power,1968,1
battery_power,641,1
battery_power,1350,1
battery_power,737,1
battery_power,577,1
battery_power,1185,1
battery_power,1217,1
battery_power,777,1
battery_power,532,1
battery_power,1889,1
battery_power,1780,1
battery_power,857,1
battery_power,1875,1
battery_power,1773,1
battery_power,1846,1
battery_power,1832,1
battery_power,1074,1
battery_power,1421,1
battery_power,1813,1
battery_power,1899,1
battery_power,739,1
battery_power,1058,1
battery_power,666,1
battery_power,1462,1
battery_power,1315,1
battery_power,1482,1
battery_power,1841,1
battery_power,924,1
battery_power,1036,1
battery_power,1993,1
battery_power,570,1
battery_power,701,1
battery_power,1896,1
battery_power,1645,1
battery_power,1914,1
battery_power,788,1
battery_power,1227,1
battery_power,1323,1
battery_power,1919,1
battery_power,1212,1
battery_power,1029,1
battery_power,1582,1
battery_power,1478,1
battery_power,755,1
battery_power,651,1
battery_power,1835,1
battery_power,1503,1
battery_power,621,1
battery_power,715,1
battery_power,1755,1
battery_power,1422,1
battery_power,1511,1
battery_power,1665,1
battery_power,786,1
battery_power,1101,1
battery_power,1959,1
battery_power,1461,1
battery_power,1925,1
battery_power,1216,1
battery_power,980,1
battery_power,812,1
battery_power,547,1
battery_power,506,1
battery_power,1840,1
battery_power,1674,1
battery_power,687,1
battery_power,1696,1
battery_power,1632,1
battery_power,606,1
battery_power,517,1
battery_power,1099,1
battery_power,1119,1
battery_power,551,1
battery_power,1371,1
battery_power,1633,1
battery_power,1881,1
battery_power,1963,1
battery_power,919,1
battery_power,1402,1
battery_power,801,1
battery_power,703,1
battery_power,1165,1
battery_power,1502,1
battery_power,1814,1
battery_power,523,1
battery_power,559,1
battery_power,1869,1
battery_power,593,1
battery_power,1300,1
battery_power,1031,1
battery_power,815,1
battery_power,1100,1
battery_power,1939,1
battery_power,1657,1
battery_power,1268,1
battery_power,1930,1
battery_power,1587,1
battery_power,1775,1
battery_power,617,1
battery_power,1635,1
battery_power,1804,1
battery_power,1084,1
battery_power,1344,1
battery_power,1106,1
battery_power,1729,1
battery_power,1545,1
battery_power,1341,1
battery_power,745,1
battery_power,1542,1
battery_power,1213,1
battery_power,1272,1
battery_power,866,1
battery_power,741,1
battery_power,846,1
battery_power,1245,1
battery_power,1655,1
battery_power,1380,1
battery_power,1688,1
battery_power,1852,1
battery_power,1132,1
battery_power,1151,1
battery_power,906,1
battery_power,1064,1
battery_power,1488,1
battery_power,1313,1
battery_power,528,1
battery_power,981,1
battery_power,1133,1
battery_power,1664,1
battery_power,1718,1
battery_power,724,1
battery_power,822,1
battery_power,1891,1
battery_power,814,1
battery_power,1286,1
battery_power,1907,1
battery_power,893,1
battery_power,1184,1
battery_power,787,1
battery_power,1161,1
battery_power,1808,1
battery_power,1593,1
battery_power,839,1
battery_power,1387,1
battery_power,918,1
battery_power,754,1
battery_power,1113,1
battery_power,1431,1
battery_power,691,1
battery_power,878,1
battery_power,1181,1
battery_power,1490,1
battery_power,1634,1
battery_power,1046,1
battery_power,892,1
battery_power,1239,1
battery_power,1345,1
battery_power,1087,1
battery_power,1861,1
battery_power,1596,1
battery_power,1754,1
battery_power,1382,1
battery_power,1584,1
battery_power,1625,1
battery_power,1539,1
battery_power,1428,1
battery_power,1061,1
battery_power,743,1
battery_power,903,1
battery_power,874,1
battery_power,1531,1
battery_power,979,1
battery_power,1336,1
battery_power,694,1
battery_power,1886,1
battery_power,1551,1
battery_power,1284,1
battery_power,850,1
battery_power,660,1
battery_power,1452,1
battery_power,1005,1
battery_power,1372,1
battery_power,858,1
blue,0,1010
blue,1,990
clock_speed,0.5,413
clock_speed,2.8,85
clock_speed,2.3,78
clock_speed,2.1,76
clock_speed,1.6,76
clock_speed,2.5,74
clock_speed,0.6,74
clock_speed,1.4,70
clock_speed,1.3,68
clock_speed,1.5,67
clock_speed,2.0,67
clock_speed,1.9,65
clock_speed,0.7,64
clock_speed,2.9,62
clock_speed,1.8,62
clock_speed,1.0,61
clock_speed,1.7,60
clock_speed,2.2,59
clock_speed,0.9,58
clock_speed,2.4,58
clock_speed,0.8,58
clock_speed,1.2,56
clock_speed,2.6,55
clock_speed,2.7,55
clock_speed,1.1,51
clock_speed,3.0,28
dual_sim,1,1019
dual_sim,0,981
fc,0,474
fc,1,245
fc,2,189
fc,3,170
fc,5,139
fc,4,133
fc,6,112
fc,7,100
fc,9,78
fc,8,77
fc,10,62
fc,11,51
fc,12,45
fc,13,40
fc,16,24
fc,15,23
fc,14,20
fc,18,11
fc,17,6
fc,19,1
four_g,1,1043
four_g,0,957
int_memory,27,47
int_memory,16,45
int_memory,14,45
int_memory,57,42
int_memory,2,42
int_memory,42,40
int_memory,7,40
int_memory,44,39
int_memory,30,39
int_memory,6,37
int_memory,8,37
int_memory,21,36
int_memory,58,36
int_memory,12,36
int_memory,23,36
int_memory,10,36
int_memory,33,36
int_memory,5,36
int_memory,41,35
int_memory,50,35
int_memory,9,35
int_memory,52,35
int_memory,46,34
int_memory,11,34
int_memory,20,34
int_memory,19,34
int_memory,35,33
int_memory,45,33
int_memory,54,32
int_memory,49,32
int_memory,34,32
int_memory,40,32
int_memory,13,31
int_memory,32,31
int_memory,51,31
int_memory,64,31
int_memory,63,30
int_memory,39,30
int_memory,24,30
int_memory,31,29
int_memory,17,29
int_memory,55,29
int_memory,26,29
int_memory,18,28
int_memory,53,28
int_memory,56,27
int_memory,15,27
int_memory,36,27
int_memory,61,27
int_memory,60,27
int_memory,47,26
int_memory,28,26
int_memory,3,25
int_memory,48,25
int_memory,25,24
int_memory,29,24
int_memory,37,24
int_memory,43,24
int_memory,22,24
int_memory,38,23
int_memory,62,21
int_memory,4,20
int_memory,59,18
m_dep,0.1,320
m_dep,0.2,213
m_dep,0.8,208
m_dep,0.5,205
m_dep,0.7,200
m_dep,0.3,199
m_dep,0.9,195
m_dep,0.6,186
m_dep,0.4,168
m_dep,1.0,106
mobile_wt,182,28
mobile_wt,101,27
mobile_wt,185,27
mobile_wt,146,26
mobile_wt,199,26
mobile_wt,88,25
mobile_wt,198,25
mobile_wt,105,25
mobile_wt,89,24
mobile_wt,131,23
mobile_wt,114,23
mobile_wt,145,23
mobile_wt,160,23
mobile_wt,138,22
mobile_wt,104,22
mobile_wt,187,22
mobile_wt,169,22
mobile_wt,134,22
mobile_wt,111,21
mobile_wt,80,21
mobile_wt,124,21
mobile_wt,158,20
mobile_wt,196,20
mobile_wt,100,20
mobile_wt,102,20
mobile_wt,103,19
mobile_wt,150,19
mobile_wt,86,19
mobile_wt,200,19
mobile_wt,123,19
mobile_wt,83,19
mobile_wt,197,19
mobile_wt,159,19
mobile_wt,141,19
mobile_wt,172,18
mobile_wt,109,18
mobile_wt,186,18
mobile_wt,155,18
mobile_wt,153,18
mobile_wt,157,18
mobile_wt,107,18
mobile_wt,151,18
mobile_wt,135,17
mobile_wt,178,17
mobile_wt,130,17
mobile_wt,170,17
mobile_wt,181,17
mobile_wt,190,17
mobile_wt,84,17
mobile_wt,113,17
mobile_wt,163,17
mobile_wt,112,17
mobile_wt,93,17
mobile_wt,132,17
mobile_wt,162,17
mobile_wt,168,16
mobile_wt,194,16
mobile_wt,173,16
mobile_wt,117,16
mobile_wt,129,16
mobile_wt,121,16
mobile_wt,156,16
mobile_wt,166,16
mobile_wt,165,16
mobile_wt,136,16
mobile_wt,148,16
mobile_wt,161,15
mobile_wt,191,15
mobile_wt,128,15
mobile_wt,95,15
mobile_wt,144,15
mobile_wt,139,15
mobile_wt,142,15
mobile_wt,147,15
mobile_wt,82,15
mobile_wt,164,15
mobile_wt,87,15
mobile_wt,106,15
mobile_wt,192,15
mobile_wt,193,15
mobile_wt,91,15
mobile_wt,154,15
mobile_wt,115,14
mobile_wt,174,14
mobile_wt,97,14
mobile_wt,110,14
mobile_wt,126,14
mobile_wt,184,14
mobile_wt,119,14
mobile_wt,118,14
mobile_wt,177,13
mobile_wt,81,13
mobile_wt,183,13
mobile_wt,125,13
mobile_wt,92,13
mobile_wt,85,13
mobile_wt,90,13
mobile_wt,94,13
mobile_wt,189,13
mobile_wt,122,13
mobile_wt,99,13
mobile_wt,98,12
mobile_wt,188,12
mobile_wt,180,12
mobile_wt,179,12
mobile_wt,143,12
mobile_wt,152,12
mobile_wt,127,12
mobile_wt,167,11
mobile_wt,175,11
mobile_wt,133,11
mobile_wt,195,11
mobile_wt,171,11
mobile_wt,176,10
mobile_wt,137,10
mobile_wt,108,10
mobile_wt,116,10
mobile_wt,140,9
mobile_wt,120,9
mobile_wt,149,9
mobile_wt,96,9
n_cores,4,274
n_cores,7,259
n_cores,8,256
n_cores,2,247
n_cores,3,246
n_cores,5,246
n_cores,1,242
n_cores,6,230
pc,10,122
pc,7,119
pc,9,112
pc,20,110
pc,1,104
pc,14,104
pc,0,101
pc,2,99
pc,17,99
pc,6,95
pc,4,95
pc,3,93
pc,15,92
pc,12,90
pc,8,89
pc,16,88
pc,13,85
pc,19,83
pc,18,82
pc,11,79
pc,5,59
px_height,347,7
px_height,179,6
px_height,371,6
px_height,275,6
px_height,674,5
px_height,286,5
px_height,42,5
px_height,211,5
px_height,649,5
px_height,398,5
px_height,327,5
px_height,322,5
px_height,526,5
px_height,356,5
px_height,88,5
px_height,730,5
px_height,447,5
px_height,56,5
px_height,168,5
px_height,667,5
px_height,293,5
px_height,461,4
px_height,361,4
px_height,127,4
px_height,485,4
px_height,546,4
px_height,262,4
px_height,713,4
px_height,396,4
px_height,831,4
px_height,570,4
px_height,193,4
px_height,1399,4
px_height,410,4
px_height,273,4
px_height,626,4
px_height,418,4
px_height,1331,4
px_height,419,4
px_height,519,4
px_height,584,4
px_height,68,4
px_height,159,4
px_height,217,4
px_height,195,4
px_height,919,4
px_height,304,4
px_height,632,4
px_height,291,4
px_height,954,4
px_height,271,4
px_height,344,4
px_height,149,4
px_height,202,4
px_height,214,4
px_height,140,4
px_height,875,4
px_height,518,4
px_height,311,4
px_height,777,4
px_height,1109,4
px_height,655,4
px_height,115,4
px_height,229,4
px_height,431,4
px_height,186,4
px_height,416,4
px_height,236,4
px_height,103,3
px_height,358,3
px_height,409,3
px_height,564,3
px_height,335,3
px_height,710,3
px_height,426,3
px_height,641,3
px_height,547,3
px_height,297,3
px_height,1285,3
px_height,295,3
px_height,65,3
px_height,594,3
px_height,190,3
